inchikey,std_smiles,pchembl_DprE1,pchembl_InhA,pchembl_KasA
ALNICVDMFYPVLU-KYJUHHDHSA-N,O=S(=O)(c1ccccc1)N(Cc1ccc(I)cc1)[C@H]1CNC[C@@H]1N(Cc1ccc(I)cc1)S(=O)(=O)c1ccccc1,,6.41,
ALWAFPQKUFSFNP-UHFFFAOYSA-N,O=C(CCCCCCNC(=O)C(O)(O)C(F)(F)F)Nc1ccc(-c2ccccc2)cc1,,,5.39
ALWBGUNCNDFMFE-QKULBLGOSA-N,CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(CO)cc1,,10.55,
ALXBWSHZBQTFJJ-UHFFFAOYSA-N,O=C(NO)c1ccc(NC2CCN(Cc3ccccc3)C2=O)cc1,,,6.12
AMDUCWJBYRMCNV-UHFFFAOYSA-N,CC(C)(C)OC(=O)N1C(NCc2ccc(C(=O)Nc3ccccc3N)cc2)=NC(=O)C1Cc1c[nH]c2ccccc12,,,4.57
AMGYYKOEOSUCFG-UHFFFAOYSA-N,CCCCCCNNC(=O)c1cccc(NCc2ccccc2)c1,,,7.34
AMHMTADRKQMPBW-UHFFFAOYSA-N,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)CCN2C(=O)CCCC32)cc1,,,5.78
AMKWRNCBPHLQOD-UHFFFAOYSA-N,O=C(NO)C(Cc1ccccc1)n1ncc2cc(Cl)ccc21,,,6.9
AMNFQPNPGQJGOD-UHFFFAOYSA-N,CC(C)c1cc(C(=O)N2Cc3ccc(NC(=O)CCCCCC(=O)NO)cc3C2)c(O)cc1O,,,5.7
AMNXPOZNBAEBEQ-UHFFFAOYSA-N,FC(F)(F)c1nc(-c2ccc(N3CCCC3c3cccnc3)nc2)no1,,,5.8
AMULIKQNTCVOEF-RYUDHWBXSA-N,C[C@H](N)C(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2,,,5.23
ANBJIEZZOVEPOO-AZGAKELHSA-N,Cc1nc2cncnc2n1CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,,6.24,
